Date : 2021-09-10 10:04:08
Directory : d:\htlib\htlib\lib
Total : 153 files,  14120 codes, 487 comments, 1787 blanks, all 16394 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        153 |     14,120 |        487 |      1,787 |     16,394 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                               | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                  |        153 |     14,120 |        487 |      1,787 |     16,394 |
| _internal                                                                                                          |         23 |      1,247 |        248 |        259 |      1,754 |
| _internal\components                                                                                               |          6 |        358 |          7 |         47 |        412 |
| _internal\director                                                                                                 |          1 |         75 |        125 |         69 |        269 |
| _internal\utils                                                                                                    |          8 |        249 |         87 |         52 |        388 |
| mode                                                                                                               |          3 |         26 |          0 |         13 |         39 |
| resources                                                                                                          |          2 |          6 |          0 |          4 |         10 |
| src                                                                                                                |        119 |     12,286 |        229 |      1,399 |     13,914 |
| src\api                                                                                                            |         12 |        639 |          3 |        136 |        778 |
| src\api\core                                                                                                       |          2 |         14 |          0 |          8 |         22 |
| src\api\firebase                                                                                                   |          9 |        616 |          3 |        126 |        745 |
| src\api\firebase\core                                                                                              |          2 |         40 |          0 |         10 |         50 |
| src\controllers                                                                                                    |          1 |         34 |          0 |          9 |         43 |
| src\db                                                                                                             |          9 |        303 |          0 |         89 |        392 |
| src\db\core                                                                                                        |          2 |         27 |          0 |         14 |         41 |
| src\model                                                                                                          |         13 |        873 |         24 |        135 |      1,032 |
| src\services                                                                                                       |         20 |      1,877 |         67 |        371 |      2,315 |
| src\services\book                                                                                                  |          2 |        420 |          5 |         64 |        489 |
| src\services\core                                                                                                  |          1 |         11 |          0 |          8 |         19 |
| src\services\librarian_panel                                                                                       |          1 |         26 |          1 |          5 |         32 |
| src\services\state_management                                                                                      |         11 |        889 |         54 |        183 |      1,126 |
| src\services\state_management\diagram_node_config                                                                  |          3 |        241 |         17 |         50 |        308 |
| src\services\state_management\diagram_notifier                                                                     |          2 |         59 |          0 |         12 |         71 |
| src\services\state_management\library_config                                                                       |          3 |        242 |         17 |         52 |        311 |
| src\services\state_management\list                                                                                 |          3 |        347 |         20 |         69 |        436 |
| src\utils                                                                                                          |          5 |        362 |         84 |        101 |        547 |
| src\utils\painter                                                                                                  |          1 |        234 |          0 |         41 |        275 |
| src\view                                                                                                           |         57 |      8,080 |         47 |        544 |      8,671 |
| src\view\book_management                                                                                           |         21 |      2,672 |          7 |        194 |      2,873 |
| src\view\book_management\components                                                                                |         10 |      1,330 |          7 |         87 |      1,424 |
| src\view\book_management\components\classify_book                                                                  |          3 |        229 |          0 |         20 |        249 |
| src\view\book_management\components\dialog                                                                         |          1 |        458 |          5 |         22 |        485 |
| src\view\book_management\components\shortcut                                                                       |          2 |         49 |          0 |         10 |         59 |
| src\view\book_management\components\widgets                                                                        |          1 |         95 |          0 |          7 |        102 |
| src\view\book_management\library_diagrams                                                                          |          5 |        886 |          0 |         48 |        934 |
| src\view\book_management\library_diagrams\components                                                               |          3 |        664 |          0 |         29 |        693 |
| src\view\book_management\library_diagrams\model                                                                    |          1 |         24 |          0 |          7 |         31 |
| src\view\book_management\printing                                                                                  |          4 |        187 |          0 |         30 |        217 |
| src\view\home                                                                                                      |          2 |        306 |          0 |         12 |        318 |
| src\view\librarian_panel                                                                                           |          6 |      1,094 |          0 |         52 |      1,146 |
| src\view\mornitor_panel                                                                                            |          1 |        229 |          0 |          8 |        237 |
| src\view\renting_history_management                                                                                |         12 |      1,703 |          5 |        135 |      1,843 |
| src\view\renting_history_management\components                                                                     |         10 |      1,516 |          5 |        115 |      1,636 |
| src\view\renting_history_management\components\dialog                                                              |          4 |        849 |          4 |         67 |        920 |
| src\view\renting_history_management\components\dialog\widgets                                                      |          2 |        248 |          0 |         15 |        263 |
| src\view\renting_history_management\components\shortcut                                                            |          2 |         49 |          0 |          9 |         58 |
| src\view\settings                                                                                                  |          3 |        271 |          0 |         24 |        295 |
| src\view\settings\components                                                                                       |          2 |        185 |          0 |         12 |        197 |
| src\view\single_user                                                                                               |          1 |         19 |          0 |          5 |         24 |
| src\view\user_management                                                                                           |         10 |      1,586 |         35 |        103 |      1,724 |
| src\view\user_management\components                                                                                |          6 |      1,025 |          2 |         56 |      1,083 |
| src\view\user_management\components\dialog                                                                         |          1 |        424 |          2 |         21 |        447 |
| src\view\user_management\components\shortcut                                                                       |          1 |         24 |          0 |          5 |         29 |
| src\view\user_management\printing                                                                                  |          2 |        302 |         33 |         19 |        354 |
| src\widget                                                                                                         |          2 |        118 |          4 |         14 |        136 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                           | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\htlib\htlib\lib\_internal\components\adaptive_button.dart                                                       | Dart     |        113 |          0 |         12 |        125 |
| d:\htlib\htlib\lib\_internal\components\adaptive_scaffold.dart                                                     | Dart     |        168 |          7 |         10 |        185 |
| d:\htlib\htlib\lib\_internal\components\measure_size.dart                                                          | Dart     |         30 |          0 |         10 |         40 |
| d:\htlib\htlib\lib\_internal\components\no_glow_scroll_behavior.dart                                               | Dart     |          8 |          0 |          2 |         10 |
| d:\htlib\htlib\lib\_internal\components\sliver_indicator.dart                                                      | Dart     |         19 |          0 |          3 |         22 |
| d:\htlib\htlib\lib\_internal\components\spacing.dart                                                               | Dart     |         20 |          0 |         10 |         30 |
| d:\htlib\htlib\lib\_internal\director\filepicker_windows.dart                                                      | Dart     |         75 |        125 |         69 |        269 |
| d:\htlib\htlib\lib\_internal\image_whisperer.dart                                                                  | Dart     |         22 |          7 |          7 |         36 |
| d:\htlib\htlib\lib\_internal\image_whisperer_html.dart                                                             | Dart     |        292 |         14 |         43 |        349 |
| d:\htlib\htlib\lib\_internal\image_whisperer_io.dart                                                               | Dart     |         22 |          7 |          7 |         36 |
| d:\htlib\htlib\lib\_internal\input_formatter.dart                                                                  | Dart     |         37 |          1 |          6 |         44 |
| d:\htlib\htlib\lib\_internal\page_break.dart                                                                       | Dart     |         15 |          0 |          7 |         22 |
| d:\htlib\htlib\lib\_internal\page_routes.dart                                                                      | Dart     |         78 |          0 |          8 |         86 |
| d:\htlib\htlib\lib\_internal\styled_widget.dart                                                                    | Dart     |         88 |          0 |          7 |         95 |
