"filename", "language", "Dart", "comment", "blank", "total"
"d:\Github\htlib\htlib\lib\_internal\components\adaptive_scaffold.dart", "Dart", 124, 10, 12, 146
"d:\Github\htlib\htlib\lib\_internal\components\custom_cupertino_switch.dart", "Dart", 408, 59, 61, 528
"d:\Github\htlib\htlib\lib\_internal\components\no_glow_scroll_behavior.dart", "Dart", 8, 0, 2, 10
"d:\Github\htlib\htlib\lib\_internal\components\spacing.dart", "Dart", 20, 0, 10, 30
"d:\Github\htlib\htlib\lib\_internal\page_break.dart", "Dart", 18, 0, 7, 25
"d:\Github\htlib\htlib\lib\_internal\page_routes.dart", "Dart", 78, 0, 8, 86
"d:\Github\htlib\htlib\lib\_internal\utils\build_utils.dart", "Dart", 66, 0, 11, 77
"d:\Github\htlib\htlib\lib\_internal\utils\color_utils.dart", "Dart", 18, 0, 5, 23
"d:\Github\htlib\htlib\lib\_internal\utils\date_utils.dart", "Dart", 4, 0, 2, 6
"d:\Github\htlib\htlib\lib\_internal\utils\error_utils.dart", "Dart", 41, 0, 7, 48
"d:\Github\htlib\htlib\lib\_internal\utils\file_utils.dart", "Dart", 33, 1, 7, 41
"d:\Github\htlib\htlib\lib\_internal\utils\path_utils.dart", "Dart", 11, 0, 3, 14
"d:\Github\htlib\htlib\lib\_internal\utils\rest_utils.dart", "Dart", 12, 0, 1, 13
"d:\Github\htlib\htlib\lib\_internal\utils\string_utils.dart", "Dart", 47, 2, 11, 60
"d:\Github\htlib\htlib\lib\_internal\utils\utils.dart", "Dart", 27, 0, 7, 34
"d:\Github\htlib\htlib\lib\_internal\widget_view.dart", "Dart", 11, 0, 6, 17
"d:\Github\htlib\htlib\lib\app.dart", "Dart", 29, 0, 2, 31
"d:\Github\htlib\htlib\lib\globals.dart", "Dart", 5, 0, 3, 8
"d:\Github\htlib\htlib\lib\injection.config.dart", "Dart", 23, 7, 7, 37
"d:\Github\htlib\htlib\lib\injection.dart", "Dart", 10, 0, 4, 14
"d:\Github\htlib\htlib\lib\main.dart", "Dart", 15, 0, 6, 21
"d:\Github\htlib\htlib\lib\resources\images.dart", "Dart", 5, 0, 3, 8
"d:\Github\htlib\htlib\lib\resources\resources.dart", "Dart", 1, 0, 1, 2
"d:\Github\htlib\htlib\lib\src\api\core\book_api.dart", "Dart", 9, 0, 7, 16
"d:\Github\htlib\htlib\lib\src\api\core\borrowing_history_api.dart", "Dart", 8, 0, 5, 13
"d:\Github\htlib\htlib\lib\src\api\core\user_api.dart", "Dart", 9, 0, 6, 15
"d:\Github\htlib\htlib\lib\src\api\firebase\book_api.dart", "Dart", 70, 0, 11, 81
"d:\Github\htlib\htlib\lib\src\api\firebase\borrowing_history_api.dart", "Dart", 68, 0, 10, 78
"d:\Github\htlib\htlib\lib\src\api\firebase\core\err\firebase_error.dart", "Dart", 2, 0, 2, 4
"d:\Github\htlib\htlib\lib\src\api\firebase\core\firebase_core_api.dart", "Dart", 32, 0, 5, 37
"d:\Github\htlib\htlib\lib\src\api\firebase\firebase.dart", "Dart", 3, 0, 1, 4
"d:\Github\htlib\htlib\lib\src\api\firebase\user_api.dart", "Dart", 86, 0, 8, 94
"d:\Github\htlib\htlib\lib\src\api\htlib_api.dart", "Dart", 8, 0, 2, 10
"d:\Github\htlib\htlib\lib\src\db\book_db.dart", "Dart", 35, 0, 11, 46
"d:\Github\htlib\htlib\lib\src\db\borrow_history_db.dart", "Dart", 4, 0, 2, 6
"d:\Github\htlib\htlib\lib\src\db\config_db.dart", "Dart", 8, 0, 4, 12
"d:\Github\htlib\htlib\lib\src\db\core_db.dart", "Dart", 22, 0, 7, 29
"d:\Github\htlib\htlib\lib\src\db\htlib_db.dart", "Dart", 21, 0, 3, 24
"d:\Github\htlib\htlib\lib\src\db\user_db.dart", "Dart", 17, 0, 4, 21
"d:\Github\htlib\htlib\lib\src\model\book_base.dart", "Dart", 119, 0, 21, 140
"d:\Github\htlib\htlib\lib\src\model\book_base.g.dart", "Dart", 48, 4, 8, 60
"d:\Github\htlib\htlib\lib\src\model\borrowing_history.dart", "Dart", 62, 3, 10, 75
"d:\Github\htlib\htlib\lib\src\model\borrowing_history.g.dart", "Dart", 45, 4, 8, 57
"d:\Github\htlib\htlib\lib\src\model\user.dart", "Dart", 95, 3, 19, 117
"d:\Github\htlib\htlib\lib\src\model\user.g.dart", "Dart", 51, 4, 8, 63
"d:\Github\htlib\htlib\lib\src\services\book\book_service.dart", "Dart", 67, 0, 20, 87
"d:\Github\htlib\htlib\lib\src\services\book\excel_service.dart", "Dart", 47, 0, 10, 57
