Date : 2021-03-08 02:55:09
Directory : d:\Github\htlib\htlib\lib
Total : 89 files,  8168 codes, 249 comments, 1022 blanks, all 9439 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         89 |      8,168 |        249 |      1,022 |      9,439 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                     | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                        |         89 |      8,168 |        249 |      1,022 |      9,439 |
| _internal                                                                                                |         21 |      1,430 |        151 |        230 |      1,811 |
| _internal\components                                                                                     |          7 |        763 |         66 |        111 |        940 |
| _internal\utils                                                                                          |          9 |        247 |         70 |         51 |        368 |
| resources                                                                                                |          2 |          6 |          0 |          4 |         10 |
| src                                                                                                      |         59 |      6,436 |         76 |        691 |      7,203 |
| src\api                                                                                                  |          9 |        291 |          0 |         62 |        353 |
| src\api\core                                                                                             |          2 |         14 |          0 |          8 |         22 |
| src\api\firebase                                                                                         |          6 |        269 |          0 |         52 |        321 |
| src\api\firebase\core                                                                                    |          2 |         34 |          0 |          7 |         41 |
| src\api\firebase\core\err                                                                                |          1 |          2 |          0 |          2 |          4 |
| src\db                                                                                                   |          7 |        190 |          0 |         53 |        243 |
| src\db\core                                                                                              |          1 |          7 |          0 |          5 |         12 |
| src\model                                                                                                |          7 |        432 |         18 |         79 |        529 |
| src\services                                                                                             |         10 |      1,200 |         49 |        219 |      1,468 |
| src\services\book                                                                                        |          2 |         74 |          2 |         14 |         90 |
| src\services\core                                                                                        |          1 |         10 |          0 |          7 |         17 |
| src\services\state_management                                                                            |          4 |        843 |         47 |        138 |      1,028 |
| src\services\state_management\core                                                                       |          4 |        843 |         47 |        138 |      1,028 |
| src\services\state_management\core\list                                                                  |          4 |        843 |         47 |        138 |      1,028 |
| src\utils                                                                                                |          2 |        489 |          0 |         43 |        532 |
| src\utils\painter                                                                                        |          1 |        471 |          0 |         41 |        512 |
| src\view                                                                                                 |         23 |      3,757 |          9 |        231 |      3,997 |
| src\view\book_management                                                                                 |          6 |      1,052 |          4 |         60 |      1,116 |
| src\view\book_management\components                                                                      |          4 |        774 |          4 |         36 |        814 |
| src\view\book_management\components\dialog                                                               |          1 |        414 |          4 |         19 |        437 |
| src\view\home                                                                                            |          2 |        146 |          0 |         10 |        156 |
| src\view\renting_history_management                                                                      |          6 |      1,090 |          0 |         83 |      1,173 |
| src\view\renting_history_management\components                                                           |          3 |        394 |          0 |         25 |        419 |
| src\view\renting_history_management\dialog                                                               |          1 |        469 |          0 |         31 |        500 |
| src\view\settings                                                                                        |          2 |        160 |          0 |         12 |        172 |
| src\view\settings\components                                                                             |          1 |         32 |          0 |          5 |         37 |
| src\view\user_management                                                                                 |          7 |      1,309 |          5 |         66 |      1,380 |
| src\view\user_management\components                                                                      |          5 |      1,045 |          5 |         50 |      1,100 |
| src\view\user_management\components\dialog                                                               |          1 |        464 |          5 |         19 |        488 |
| src\widget                                                                                               |          1 |         77 |          0 |          4 |         81 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                 | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Github\htlib\htlib\lib\_internal\components\adaptive_button.dart                                      | Dart     |        112 |          0 |         12 |        124 |
| d:\Github\htlib\htlib\lib\_internal\components\adaptive_scaffold.dart                                    | Dart     |        169 |          7 |         13 |        189 |
| d:\Github\htlib\htlib\lib\_internal\components\custom_cupertino_switch.dart                              | Dart     |        408 |         59 |         61 |        528 |
| d:\Github\htlib\htlib\lib\_internal\components\measure_size.dart                                         | Dart     |         30 |          0 |         10 |         40 |
| d:\Github\htlib\htlib\lib\_internal\components\no_glow_scroll_behavior.dart                              | Dart     |          8 |          0 |          2 |         10 |
| d:\Github\htlib\htlib\lib\_internal\components\sliver_indicator.dart                                     | Dart     |         16 |          0 |          3 |         19 |
| d:\Github\htlib\htlib\lib\_internal\components\spacing.dart                                              | Dart     |         20 |          0 |         10 |         30 |
| d:\Github\htlib\htlib\lib\_internal\image_whisperer.dart                                                 | Dart     |        296 |         14 |         43 |        353 |
| d:\Github\htlib\htlib\lib\_internal\input_formatter.dart                                                 | Dart     |         17 |          1 |          4 |         22 |
| d:\Github\htlib\htlib\lib\_internal\page_break.dart                                                      | Dart     |         18 |          0 |          7 |         25 |
| d:\Github\htlib\htlib\lib\_internal\page_routes.dart                                                     | Dart     |         78 |          0 |          8 |         86 |
